State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
PA,King of Prussia,Regal UA King of Prussia & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX 15/70 mm,15.90 m,22.30 m,Yes
PA,Warrington,Regal Warrington Crossing & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.20 m,15.80 m,Yes
PA,West Homestead,AMC Waterfront 22 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.50 m,15.30 m,Yes
RI,Providence,Providence Place Cinemas 16 and IMAX,1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,18.60 m,24.70 m,Yes
SC,Simpsonville,Regal Simpsonville & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
TN,Chattanooga,"IMAX 3D, Tennessee Aquarium",1.43:1,IMAX GT Laser,1.43:1,No,21.00 m,26.60 m,Yes
TN,Franklin,AMC Thoroughbred 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.60 m,21.10 m,Yes
TN,Knoxville,Regal Pinnacle & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.20 m,18.60 m,Yes
TN,Nashville,Regal Opry Mills & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,20.0 m,27.40 m,Yes
TX,Austin,"IMAX, The Bullock Texas State History Museum",1.43:1,IMAX GT Laser,1.43:1,No,19.00 m,25.10 m,Yes
TX,Austin,Regal Gateway & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.00 m,15.20 m,Yes
TX,Austin,EVO Cinemas Belterra Village & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
TX,Baytown,Showbiz Cinemas Baytown & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
TX,Dallas,AMC Northpark 15 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.10 m,20.00 m,Yes
TX,Dallas,Cinemark Dallas & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.10 m,21.60 m,Yes
TX,Edinburg,AMC Edinburg 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,23.0 m,Yes
TX,Frisco,AMC Stonebriar 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.80 m,15.90 m,Yes
TX,Garland,AMC Firewheel 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
TX,Houston,AMC Willowbrook 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.50 m,17.10 m,Yes
TX,Houston,Regal Edwards Houston Marq*E & IMAX,1.43:1,IMAX CoLa,1.90:1,No,17.40 m,22.90 m,Yes
TX,Houston,AMC Gulf Pointe 30 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
TX,Houston,Showbiz Cinemas Liberty Lakes & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
TX,San Antonio,AMC Rivercenter 11 & IMAX (Auditorium 11),1.43:1,IMAX Digital,1.90:1,No,16.10 m,21.30 m,Yes
TX,Shenandoah,AMC Metropark 10 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.00 m,16.00 m,Yes
TX,Waxahachie,EVO Entertainment Waxahachie & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
UT,Salt Lake City, Northrop Grumman IMAX Theatre (Clark Planetarium),1.43:1,IMAX Digital,1.90:1,No,16.8 m,21.3 m,Limited
UT,Sandy,Megaplex Sandy at Jordan Commons & IMAX,1.43:1,IMAX Digital,1.90:1,No,17.2 m,24.6 m,Yes
VA,Alexandria,AMC Hoffman Center 22 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.5 m,15.5 m,Yes
VA,Ashburn,Regal Fox & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.50 m,16.80 m,Yes
VA,Chantilly,"Airbus IMAX, Steven F. Udvar-Hazy Center",1.43:1,IMAX GT Laser,1.43:1,No,19.00 m,26.10 m,Yes
VA,McLean,AMC Tysons Corner 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,12.20 m,19.80 m,Yes
VA,Virginia Beach,AMC Lynnhaven 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.10 m,15.80 m,Yes
VA,Woodbridge,AMC Potomac Mills 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.00 m,16.00 m,Yes
WA,Kent,AMC Kent Station 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.80 m,15.70 m,Yes
WA,Lynnwood,AMC Alderwood Mall 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.70 m,19.20 m,Yes
WA,Seattle,IMAX at the Center (formerly the Boeing IMAX Theater),1.43:1,IMAX GT Laser,1.43:1,No,18.10 m,24.40 m,No
WA,Seattle,PACCAR IMAX Theater at Pacific Science Center,1.43:1,IMAX Digital,1.90:1,No,18.30 m, 11.30 m, Limited
WA,Seattle,Regal Thornton Place & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
WA,Tukwila,AMC Southcenter 16 & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,8.70 m,15.80 m,Yes
